[11:43:18.865] [INFO] [FileLogger] FileLogger initialized. Log directory: /data/user/0/com.starception.submission.demo.debug/files/prayer_logs
[11:43:18.880] [INFO] [SubmissionApplication] Application onCreate started - FileLogger initialized
[11:43:22.437] [INFO] [PrayerNotificationService] Service onCreate - Prayer notification service created
[11:43:22.520] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Fajr | Scheduled: 5:31 AM | Details: reminderMinutes=20
[11:43:22.522] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Dhuhr | Scheduled: 12:05 PM | Details: reminderMinutes=20
[11:43:22.528] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Dhuhr | Scheduled: 2025-12-11 12:05:00.000 | Details: notificationType=prayer_time, scheduledDateTime=2025-12-11T12:05, delaySeconds=1297, delayMs=1297473, delayMinutes=21.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.527
[11:43:22.530] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Dhuhr | Scheduled: 2025-12-11 11:45:00.000 | Details: notificationType=reminder, scheduledDateTime=2025-12-11T11:45, delaySeconds=97, delayMs=97471, delayMinutes=1.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.529
[11:43:22.533] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Asr | Scheduled: 3:11 PM | Details: reminderMinutes=20
[11:43:22.536] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Asr | Scheduled: 2025-12-11 15:11:00.000 | Details: notificationType=prayer_time, scheduledDateTime=2025-12-11T15:11, delaySeconds=12457, delayMs=12457468, delayMinutes=207.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.532
[11:43:22.539] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Asr | Scheduled: 2025-12-11 14:51:00.000 | Details: notificationType=reminder, scheduledDateTime=2025-12-11T14:51, delaySeconds=11257, delayMs=11257467, delayMinutes=187.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.533
[11:43:22.541] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Maghrib | Scheduled: 5:33 PM | Details: reminderMinutes=20
[11:43:22.542] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Maghrib | Scheduled: 2025-12-11 17:33:00.000 | Details: notificationType=prayer_time, scheduledDateTime=2025-12-11T17:33, delaySeconds=20977, delayMs=20977464, delayMinutes=349.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.536
[11:43:22.544] [INFO] [PrayerEvent] PRAYER_EVENT: ADHAN_SCHEDULED | Prayer: Maghrib | Scheduled: 2025-12-11 17:13:00.000 | Details: notificationType=reminder, scheduledDateTime=2025-12-11T17:13, delaySeconds=19777, delayMs=19777462, delayMinutes=329.62, alarmType=EXACT_ALLOW_IDLE, currentTime=2025-12-11 11:43:22.538
[11:43:22.546] [INFO] [PrayerEvent] PRAYER_EVENT: SCHEDULE_REQUEST | Prayer: Isha | Scheduled: 6:52 PM | Details: reminderMinutes=20
